ID,Name,Surname,PhoneNumber,email,Salary,Position
1,Roma,Nebozenko,79616535710,333333@mail.ru,100000,English teacher
2,Sonya,Zinchenko,79524589938,5555555@gmail.com,140000,Spanish teacher
3,Pasha,Usenko,79236424700,5555555@gmail.com,130000,German teacher
4,Natasha,Nebozenko,79533826253,11111@gmail.com,130000,German teacher
5,Natasha,Fomenko,79619424228,666666666@mail.ru,110000,teacher of history
6,Lina,Ivanov,79990776816,5555555@gmail.com,110000,English teacher
7,Igor,Usenko,79772968470,11111@gmail.com,90000,teacher of history
8,Sonya,Morozov,79314805165,44444444@gmail.com,60000,English teacher
9,Dima,Morozov,79754546694,88888888@mail.ru,70000,Spanish teacher
10,Sonya,Fomenko,79220587489,5555555@gmail.com,70000,German teacher
11,Denis,Morozov,79907573818,2222222@yandex.ru,80000,Methodist
12,Anna,Morozov,79468922469,88888888@mail.ru,100000,English teacher
13,Kate,Nebozenko,79704591016,77777777@mail.ru,130000,Methodist
14,Lina,Fomenko,79140497407,99999999@yandex.ru,80000,Methodist
15,Roma,Petrenko,79585654460,88888888@mail.ru,120000,teacher of history
16,Igor,Usenko,79071913772,44444444@gmail.com,100000,English teacher
17,Natasha,Kushnir,79697105568,99999999@yandex.ru,90000,German teacher
18,Lina,Usenko,79001176976,44444444@gmail.com,120000,teacher of history
19,Anna,Kaleeva,79540974862,5555555@gmail.com,90000,teacher of math
20,Kate,Kushnir,79561810330,44444444@gmail.com,140000,teacher of history
21,Lina,Zinchenko,79577916163,11111@gmail.com,60000,Methodist
22,Pasha,Kushnir,79078933792,2222222@yandex.ru,60000,English teacher
23,Sonya,Ivanov,79363933100,11111@gmail.com,90000,German teacher
24,Igor,Ivanov,79656213751,666666666@mail.ru,100000,English teacher
25,Kate,Vitek,79632153023,88888888@mail.ru,140000,Spanish teacher
